# Petrel Points with attributes
# Unit in X and Y direction: ftUS
# Unit in depth: ft
VERSION 1
BEGIN HEADER
X
Y
Z
END HEADER
345482.99 661850.81 2820.11 
345480.72 661714.01 3509.46 
345651.27 661885.28 2888.46 
345647.96 661686.32 3633.20 
345819.83 661936.15 2968.84 
345818.19 661837.78 3290.35 
345816.00 661705.89 3780.83 
345988.79 662011.60 3067.26 
345987.34 661924.42 3347.77 
345984.03 661725.45 3928.47 
346157.75 662087.06 3165.68 
346156.49 662011.05 3437.99 
346152.47 661769.33 3918.32 
346325.42 662084.27 3234.58 
346321.18 661829.42 3802.98 
346491.13 661964.12 3259.19 
346489.89 661889.51 3687.64 
